Link,Tipo,Valor,Publico,Nome
"https://www.terabyteshop.com.br/produto/13445/processador-intel-core-i5-10400-290ghz-430ghz-turbo-10-geracao-6-cores-12-threads-lga-1200-bx8070110400
",Processador,999,3000,"Processador Intel Core i5 10400, 2.90GHz, (4.30GHz Turbo), 10ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070110400"
https://www.kabum.com.br/produto/112990/processador-intel-core-i5-10400-2-9ghz-4-3ghz-max-turbo-cache-12mb-lga-1200-bx8070110400,Processador,1100,3000,"Processador Intel Core i5 10400, 2.90GHz, (4.30GHz Turbo), 10ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070110400"
https://www.amazon.com.br/Processador-Intel-I5-10400-4-30GHz-BX8070110400/dp/B0883NPQST,Processador,1110,3000,"Processador Intel Core i5 10400, 2.90GHz, (4.30GHz Turbo), 10ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070110400"
https://www.terabyteshop.com.br/produto/20592/placa-mae-biostar-h410mh-s2-chipset-h510-intel-lga-1200-matx-ddr4,Placa Mãe,459,3000,"Placa Mãe Biostar H410MH S2, Intel LGA 1200, mATX, DDR4"
https://www.pontofrio.com.br/placa-mae-biostar-h410mh-s2-socket-lga-1200-vga-ddr4-1534427759/p/1534427759?utm_medium=cpc&utm_source=GP_PLA&IdSku=1534427759&idLojista=192053&tipoLojista=3P&&utm_campaign=3p_gg_pmax_nca&gclid=CjwKCAiAnZCdBhBmEiwA8nDQxSPAT-MlfQ7Rj7ZoQnIG_b88hsYK7ojMLVCC7zW1ggXV0exz8uJ0QhoCeEsQAvD_BwE&gclsrc=aw.ds,Placa Mãe,699,3000,"Placa Mãe Biostar H410MH S2, Intel LGA 1200, mATX, DDR4"
https://www.submarino.com.br/produto/5884874386?epar=bp_pl_px_go_pmax_pcgamer_geral_gmv&opn=XMLGOOGLE&WT.srch=1&offerId=631a8549987bd9d4500e2c34&gclid=CjwKCAiAnZCdBhBmEiwA8nDQxRSEqPdvi0u2UH3DHxyKCVKC0tjcv66N11uPGVY4XiPq0m4P2MeY4RoCSZUQAvD_BwEa,Placa Mãe,439,3000,"Placa Mãe Biostar H410MH S2, Intel LGA 1200, mATX, DDR4"
https://www.terabyteshop.com.br/produto/21516/memoria-ddr4-geil-superframe-8gb-3200mhz-gray-sfgaog48gb3200c22bs,Memória,219,3000,"Memória DDR4 Geil SuperFrame, 8GB, 3200MHz, Gray, SFGAOG48GB3200C22BS"
https://www.terabyteshop.com.br/produto/18657/memoria-ddr4-zadak-twist-black-8gb-3000mhz-zd4-tws30c08-08gyb1,Memória,269,3000,"Memória DDR4 Zadak Twist, Black, 8GB, 3000MHz, ZD4-TWS30C08-08GYB1"
https://www.terabyteshop.com.br/produto/18662/memoria-ddr4-zadak-moab-rgb-8gb-3000mhz-zd4-mo130c08-08gyg1,Memória,269,3000,"Memória DDR4 Zadak MOAB, RGB, 8GB, 3000MHz, ZD4-MO130C08-08GYG1"
https://www.terabyteshop.com.br/produto/22281/ssd-gamer-ninja-shuriken-240gb-sata-iii-leitura-500mbs-e-gravacao-400mbs-gnshst3240g,SSD,160,3000,"SSD Gamer Ninja Shuriken 240GB, Sata III, Leitura 500MBs E Gravação 400MBs"
https://www.terabyteshop.com.br/produto/7443/ssd-kingston-a400-240gb-sa400s37240g-sata-iii-leitura-500mbs-gravacao-350mbs,SSD,189,3000,"SSD Kingston A400, 240GB, Sata III, Leitura 500MBs Gravação 350MBs"
https://www.terabyteshop.com.br/produto/8695/ssd-sandisk-plus-240gb-sdssda-240g-g26-leitura-530mbs-e-gravacao-440mbs-sata-iii,SSD,190,3000,"SSD Sandisk Plus, 240GB, Sata III, Leitura 530MBs e Gravação 440MBs"
https://www.kabum.com.br/produto/84108/hd-seagate-1tb-barracuda-3-5-sata-st1000dm010,HD,240,3000,"HD Seagate Barracuda 1TB, Sata III, 7200RPM, 64MB, ST1000DM010"
